170	0.0	0.024	0.037	0.188	0.243
560	0.0	0.024	0.032	0.058	0.154
343	0.0	0.018	0.033	0.152	0.185
488	0.007	0.028	0.037	0.175	0.246
78	0.007	0.03	0.043	0.195	0.243
971	0.007	0.026	0.039	0.056	0.157
147	0.008	0.022	0.032	0.147	0.223
576	0.0	0.023	0.039	0.147	0.2
152	0.007	0.027	0.038	0.082	0.188
920	0.014	0.029	0.046	0.15	0.207
174	0.008	0.026	0.045	0.189	0.25
679	0.007	0.03	0.046	0.172	0.25
535	0.0	0.025	0.033	0.154	0.245
658	0.0	0.029	0.043	0.175	0.229
298	0.0	0.019	0.032	0.172	0.22
745	0.015	0.031	0.04	0.171	0.224
36	0.007	0.029	0.041	0.065	0.19
149	0.015	0.029	0.039	0.087	0.195
622	0.0	0.025	0.038	0.177	0.243
603	0.007	0.023	0.04	0.077	0.183
792	0.0	0.029	0.045	0.123	0.219
797	0.014	0.033	0.045	0.164	0.227
843	0.012	0.035	0.049	0.188	0.242
198	0.007	0.024	0.037	0.096	0.204
514	0.0	0.022	0.033	0.159	0.191
239	0.0	0.016	0.032	0.127	0.163
515	0.007	0.023	0.034	0.048	0.16
280	0.0	0.023	0.037	0.057	0.137
324	0.0	0.017	0.034	0.163	0.222
51	0.007	0.023	0.041	0.059	0.169
464	0.0	0.022	0.038	0.054	0.188
698	0.007	0.03	0.044	0.172	0.243
837	0.0	0.024	0.041	0.07	0.183
469	0.0	0.023	0.039	0.164	0.211
977	0.0	0.024	0.038	0.182	0.234
491	0.008	0.023	0.032	0.055	0.163
736	0.0	0.024	0.033	0.129	0.198
188	0.007	0.024	0.037	0.057	0.163
735	0.0	0.024	0.038	0.145	0.22
466	0.0	0.022	0.034	0.061	0.182
130	0.0	0.028	0.041	0.163	0.223
730	0.0	0.023	0.041	0.062	0.162
199	0.0	0.029	0.042	0.075	0.188
335	0.0	0.024	0.039	0.156	0.233
332	0.007	0.026	0.037	0.141	0.209
864	0.007	0.03	0.04	0.165	0.209
